,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",719353,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
160,"Somebody To Love - Remastered 2011",Queen,717636,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
161,"In My Blood","Shawn Mendes",717215,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
162,bellyache,"Billie Eilish",716899,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
163,"Fine China",Future,714871,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
164,Sola,"Manuel Turizo",709402,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
165,"Hobby Hobby",MERO,709314,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT
166,"Love Lies (with Normani)",Khalid,708149,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
167,"Derdim Olsun",Reynmen,707277,https://open.spotify.com/track/0m0Ew7RcwZaBS8psxgE00P
168,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",705760,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
169,"XO TOUR Llif3","Lil Uzi Vert",701960,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
170,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,697842,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
171,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,692570,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
172,"Woman Like Me (feat. Nicki Minaj)","Little Mix",690825,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
173,"3 Nights","Dominic Fike",690689,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
174,"Un Año","Sebastian Yatra",688170,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
175,"Pure Water (with Migos)",Mustard,684968,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
176,"Thinking out Loud","Ed Sheeran",684139,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
177,"ocean eyes","Billie Eilish",683911,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
178,Trampoline,SHAED,682139,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
179,Closer,"The Chainsmokers",679601,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
180,Photograph,"Ed Sheeran",665824,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
181,"Jackie Chan",Tiësto,663933,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
182,"Ric Flair Drip (& Metro Boomin)",Offset,658853,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
183,"We Will Rock You - Remastered",Queen,658774,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
184,Happier,"Ed Sheeran",658118,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
185,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",657842,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
186,"All The Stars (with SZA)","Kendrick Lamar",653905,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
187,"Lucky You (feat. Joyner Lucas)",Eminem,653597,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
188,goosebumps,"Travis Scott",653143,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
189,HUMBLE.,"Kendrick Lamar",650432,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
190,"Everybody Dies In Their Nightmares",XXXTENTACION,644607,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
191,PPP,"Kevin Roldan",644535,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
192,"Nice For What",Drake,643444,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
193,SOLO,JENNIE,643077,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
194,Africa,Toto,638093,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
195,"I'm Yours","Jason Mraz",632654,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
196,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",632646,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
197,"Calling My Spirit","Kodak Black",629520,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
198,"Anxiety (with Selena Gomez)","Julia Michaels",624125,https://open.spotify.com/track/1XJ93XskwJf7PCyIVLbNBt
199,"Wonderwall - Remastered",Oasis,619980,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
200,"Happy Now",Zedd,616543,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
